max_speed,speed,acceleration,lookahead,mae
4.5,4.5,0.03,25.0,14.120244565217387
4.5,4.5,0.03,20.0,14.404891304347816
4.5,4.5,0.03,15.0,14.605978260869556
4.5,4.5,0.03,10.0,14.777173913043468
4.5,4.0,0.03,25.0,14.046195652173903
4.5,4.0,0.03,20.0,14.470108695652163
4.5,4.0,0.03,15.0,14.536005434782604
4.5,4.0,0.03,10.0,14.841032608695642
4.5,3.5,0.03,25.0,14.073369565217387
4.5,3.5,0.03,20.0,14.514266304347816
4.5,3.5,0.03,15.0,14.728260869565208
4.5,3.5,0.03,10.0,14.803668478260862
4.5,3.0,0.03,25.0,13.995244565217387
4.5,3.0,0.03,20.0,14.40624999999999
4.5,3.0,0.03,15.0,14.49999999999999
4.5,3.0,0.03,10.0,14.849864130434772
4.5,2.5,0.03,25.0,14.080163043478256
4.5,2.5,0.03,20.0,14.487771739130425
4.5,2.5,0.03,15.0,14.714673913043468
4.5,2.5,0.03,10.0,14.77309782608695
4.5,2.0,0.03,25.0,13.954483695652163
4.5,2.0,0.03,20.0,14.392663043478251
4.5,2.0,0.03,15.0,14.468749999999995
4.5,2.0,0.03,10.0,14.771739130434772
4.5,1.5,0.03,25.0,14.078804347826082
4.5,1.5,0.03,20.0,14.298913043478251
4.5,1.5,0.03,15.0,14.510190217391294
4.5,1.5,0.03,10.0,14.699048913043468
4.0,4.0,0.03,25.0,14.086277173913034
4.0,4.0,0.03,20.0,14.396739130434772
4.0,4.0,0.03,15.0,14.71195652173912
4.0,4.0,0.03,10.0,14.84171195652173
4.0,3.5,0.03,25.0,14.00339673913043
4.0,3.5,0.03,20.0,14.38383152173912
4.0,3.5,0.03,15.0,14.61616847826086
4.0,3.5,0.03,10.0,14.869565217391294
4.0,3.0,0.03,25.0,14.052309782608686
4.0,3.0,0.03,20.0,14.441576086956513
4.0,3.0,0.03,15.0,14.525815217391294
4.0,3.0,0.03,10.0,14.713994565217382
4.0,2.5,0.03,25.0,13.951086956521735
4.0,2.5,0.03,20.0,14.271059782608686
4.0,2.5,0.03,15.0,14.613451086956513
4.0,2.5,0.03,10.0,14.877717391304339
4.0,2.0,0.03,25.0,13.928668478260864
4.0,2.0,0.03,20.0,14.30570652173912
4.0,2.0,0.03,15.0,14.547554347826077
4.0,2.0,0.03,10.0,14.676630434782599
4.0,1.5,0.03,25.0,14.008831521739125
4.0,1.5,0.03,20.0,14.421195652173903
4.0,1.5,0.03,15.0,14.372282608695642
4.0,1.5,0.03,10.0,14.591032608695642
3.5,3.5,0.03,25.0,13.962635869565208
3.5,3.5,0.03,20.0,14.387907608695642
3.5,3.5,0.03,15.0,14.428668478260864
3.5,3.5,0.03,10.0,14.74320652173912
3.5,3.0,0.03,25.0,13.942255434782599
3.5,3.0,0.03,20.0,14.291440217391294
3.5,3.0,0.03,15.0,14.478940217391294
3.5,3.0,0.03,10.0,14.733695652173903
3.5,2.5,0.03,25.0,13.944293478260864
3.5,2.5,0.03,20.0,14.229619565217382
3.5,2.5,0.03,15.0,14.428668478260864
3.5,2.5,0.03,10.0,14.754076086956516
3.5,2.0,0.03,25.0,13.835597826086946
3.5,2.0,0.03,20.0,14.314538043478251
3.5,2.0,0.03,15.0,14.40421195652173
3.5,2.0,0.03,10.0,14.861413043478251
3.5,1.5,0.03,25.0,13.876358695652169
3.5,1.5,0.03,20.0,14.281929347826077
3.5,1.5,0.03,15.0,14.43070652173912
3.5,1.5,0.03,10.0,14.686141304347816
3.0,3.0,0.03,25.0,13.750679347826082
3.0,3.0,0.03,20.0,13.975543478260864
3.0,3.0,0.03,15.0,14.322690217391294
3.0,3.0,0.03,10.0,14.540760869565213
3.0,2.5,0.03,25.0,13.682744565217387
3.0,2.5,0.03,20.0,13.997282608695642
3.0,2.5,0.03,15.0,14.387907608695642
3.0,2.5,0.03,10.0,14.483016304347816
3.0,2.0,0.03,25.0,13.757472826086952
3.0,2.0,0.03,20.0,13.938858695652163
3.0,2.0,0.03,15.0,14.327445652173903
3.0,2.0,0.03,10.0,14.497282608695642
3.0,1.5,0.03,25.0,13.648097826086952
3.0,1.5,0.03,20.0,13.89945652173912
3.0,1.5,0.03,15.0,14.237092391304339
3.0,1.5,0.03,10.0,14.445652173913034
2.5,2.5,0.03,25.0,13.46195652173912
2.5,2.5,0.03,20.0,13.60733695652173
2.5,2.5,0.03,15.0,13.909646739130425
2.5,2.5,0.03,10.0,14.197690217391294
2.5,2.0,0.03,25.0,13.434103260869561
2.5,2.0,0.03,20.0,13.64741847826086
2.5,2.0,0.03,15.0,13.862092391304342
2.5,2.0,0.03,10.0,14.174592391304339
2.5,1.5,0.03,25.0,13.402853260869556
2.5,1.5,0.03,20.0,13.627038043478251
2.5,1.5,0.03,15.0,13.843070652173909
2.5,1.5,0.03,10.0,14.289402173913034
2.0,2.0,0.03,25.0,12.809782608695647
2.0,2.0,0.03,20.0,13.036684782608686
2.0,2.0,0.03,15.0,13.267663043478256
2.0,2.0,0.03,10.0,13.508152173913034
2.0,1.5,0.03,25.0,12.774456521739125
2.0,1.5,0.03,20.0,13.030570652173909
2.0,1.5,0.03,15.0,13.271739130434778
2.0,1.5,0.03,10.0,13.485733695652163
